Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO1233	2.38773E-05	3.11867E-05	3.94707E-05	1.94917E-06	1.94917E-06	4.38563E-06	1.21823E-05	2.38773E-05	4.38563E-06	3.23046E-05	2.27639E-05	2.49627E-05
SPO1234	0.000111226	0.000391029	0.000111226	4.34477E-05	6.25647E-05	8.51575E-05	0.000210287	0.000502255	0.000293706	0.000298997	0.000494261	0.000298997
SPO1235	0.000179998	0.000179998	0.000206631	7.43871E-05	4.49996E-05	4.49996E-05	0.000265406	0.000179998	0.000179998	0.000390527	6.9737E-05	0.000610199
SPO1236	1.215E-06	4.85999E-06				4.85999E-06	1.215E-06		4.85999E-06	5.37094E-06	1.29219E-06	
SPO1237		3.14896E-05	1.13363E-05	1.13363E-05	1.25958E-06	5.03834E-06	1.25958E-06		1.25958E-06	2.4408E-05		7.04075E-06
SPO1239	0.000819972	0.001457728	0.000496033	0.001224897	0.001012311	0.000306224	0.000913611	0.003654444	0.000913611	0.001763474	0.000403994	0.000597309
SPO1240	0.002356117	0.004329438	0.004915849	0.002461997	0.003146143	0.004050194	0.002908786	0.00447255	0.003392809	0.004151546	0.019825358	0.003870169
SPO1241	1.59955E-05	2.84364E-05	6.3982E-05	1.59955E-05	1.59955E-05	7.10911E-06	2.84364E-05	6.3982E-05	8.70866E-05		5.49179E-05	
SPO1242	1.01909E-05	4.07638E-05	1.01909E-05	1.81172E-05	4.07638E-05	2.83082E-05			1.01909E-05	7.04075E-06	9.76318E-05	6.6973E-06
SPO1243	7.6701E-05	1.22722E-05	2.76123E-05	0.000150334	7.6701E-05	2.76123E-05	2.76123E-05	7.6701E-05	0.000150334	9.76318E-05	0.000219672	7.42134E-05
SPO1244	0.000848731	0.000422897	0.000848731	0.000496317	0.000496317	0.00106018	0.000848731	0.001691588	0.001295122	0.000801579	0.001372947	0.000581833
SPO1245	1.59439E-05											
